,<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
144934,HCM,20221226,14.3513,14.3846,13.1831,13.185,6512200
145410,HCM,20221223,14.685,14.7851,14.151,14.153,4286600
145893,HCM,20221222,15.1189,15.1189,14.418,14.6871,3656800
146372,HCM,20221221,14.8853,14.8853,13.7505,14.7873,6417000
146862,HCM,20221220,14.952,15.1523,14.0843,14.587,8964700
147355,HCM,20221219,15.486,16.287,14.9854,14.9875,9130000
147852,HCM,20221216,15.4193,15.9533,15.219,15.4549,6197900
148340,HCM,20221215,14.8519,15.6863,14.8519,15.6551,8223900
148830,HCM,20221214,15.3525,15.486,14.952,15.0877,7231200
149323,HCM,20221213,14.0175,14.8853,13.6838,14.8874,7521800
149820,HCM,20221212,14.8185,15.486,13.9174,13.9194,7820500
150315,HCM,20221209,15.1189,15.1856,14.5515,14.7873,4936300
150819,HCM,20221208,14.4848,15.0855,14.3513,15.0877,7663700
151322,HCM,20221207,14.418,14.685,13.9508,14.1197,8285900
151830,HCM,20221206,15.219,15.5528,14.5515,14.5536,13627400
152352,HCM,20221205,15.6863,15.8531,15.0855,15.6218,9623400
152870,HCM,20221202,13.9508,14.952,13.7839,14.9542,9668400
153385,HCM,20221201,15.0188,15.0188,13.8173,13.9861,12095400
153899,HCM,20221130,14.0175,14.9854,13.884,14.6537,7697800
154407,HCM,20221129,14.1844,14.7184,13.5503,14.3199,13633600
154923,HCM,20221128,13.7171,14.2845,13.5836,14.1864,10407200
155438,HCM,20221125,12.9161,13.3834,12.549,13.3853,7248600
155949,HCM,20221124,11.7146,12.5156,11.5478,12.5174,6819200
156449,HCM,20221123,12.5156,12.7493,11.8148,11.8165,4987800
156956,HCM,20221122,12.2486,13.1831,12.1151,12.6843,9576600
157468,HCM,20221121,12.4823,12.7159,12.2153,12.3505,5103300
157981,HCM,20221118,11.5478,12.549,11.1473,12.3505,8819200
158495,HCM,20221117,11.4143,11.748,11.3475,11.7497,6972100
159011,HCM,20221116,9.5786,10.9804,9.5786,10.982,9994600
159533,HCM,20221115,10.7801,11.0805,10.2795,10.281,7292200
160042,HCM,20221114,11.3809,11.6813,10.9804,11.0487,8925200
160546,HCM,20221111,13.0163,13.2833,11.7814,11.7831,9255300
161051,HCM,20221110,13.2499,13.35,12.6491,12.651,5918200
161567,HCM,20221109,13.6504,13.9508,13.2165,13.5856,6233700
162071,HCM,20221108,12.4823,13.5503,12.4489,13.4521,5667800
162577,HCM,20221107,13.6838,14.0843,12.8828,12.8846,8541300
163088,HCM,20221104,13.884,14.2845,13.1498,13.8193,9050800
163603,HCM,20221103,13.6838,14.6183,13.617,14.0863,8405200
164124,HCM,20221102,13.884,14.151,13.7171,13.9528,4359700
164643,HCM,20221101,14.0843,14.2178,13.7839,13.886,5528400
165166,HCM,20221031,12.8494,13.6838,12.7159,13.6857,9810400
165685,HCM,20221028,12.9161,13.1498,12.7826,12.8179,5068000
166200,HCM,20221027,12.1485,12.5824,11.8148,12.5842,4289900
166715,HCM,20221026,12.2486,12.3154,11.5811,11.7831,1752300
167230,HCM,20221025,11.6145,12.3488,10.8135,11.9834,5785000
167748,HCM,20221024,12.4489,12.6491,11.5478,11.5494,5625900
168254,HCM,20221021,13.3834,13.4835,12.4155,12.4173,5882600
168769,HCM,20221020,13.6838,13.7839,13.35,13.3519,2512900
169274,HCM,20221019,13.884,14.0175,13.6838,13.7191,1956200
169791,HCM,20221018,14.2178,14.3846,13.6838,13.7525,3438000
170305,HCM,20221017,13.35,13.9508,13.1831,13.9528,3611500
170825,HCM,20221014,13.5169,13.8506,13.3834,13.5188,4061400
171345,HCM,20221013,12.9495,13.1831,12.7826,13.0849,2145100
171865,HCM,20221012,12.4489,13.3166,12.4489,12.8846,3659400
172385,HCM,20221011,13.3834,13.3834,12.4489,12.4507,5195900
172908,HCM,20221010,12.6825,13.6838,12.6825,13.3853,4002200
173431,HCM,20221007,13.1164,13.4835,12.8828,12.8846,6990300
173946,HCM,20221006,14.8853,14.8853,13.8506,13.8526,6017800
174475,HCM,20221005,14.2178,15.1189,14.2178,14.8874,3838000
175002,HCM,20221004,15.4193,15.486,14.1844,14.2198,6961500
175536,HCM,20221003,16.2203,16.2203,15.219,15.2212,5041800
176062,HCM,20220930,16.3871,16.6208,15.2524,16.3561,12376900
176597,HCM,20220929,17.8556,17.8556,16.3871,16.3895,5917200
177118,HCM,20220928,17.2883,17.9558,17.1548,17.491,11204000
177636,HCM,20220927,17.2215,17.7555,17.0213,17.2908,5029200
178164,HCM,20220926,17.355,17.5886,16.4539,17.224,8468400
178696,HCM,20220923,18.0559,18.2228,17.6888,17.6913,7124200
179202,HCM,20220922,17.088,18.156,17.0213,18.1586,9895300
179701,HCM,20220921,16.7543,17.4551,16.7543,17.2574,3550800
180205,HCM,20220920,16.821,17.1881,16.3538,16.9903,6148300
180714,HCM,20220919,17.5553,17.622,16.5206,16.5898,7557500
181241,HCM,20220916,17.889,18.156,17.4885,17.5578,7548100
181776,HCM,20220915,18.2228,18.2895,17.889,17.9583,5113500
182305,HCM,20220914,16.8878,18.156,16.7209,18.1586,11572200
182837,HCM,20220913,16.7543,17.1548,16.4205,17.1572,4159700
183361,HCM,20220912,17.1881,17.1881,16.7543,16.7567,2799000
183896,HCM,20220909,16.6541,16.9545,15.8865,16.957,4759500
184436,HCM,20220908,16.7543,16.8878,16.3538,16.523,5159400
184969,HCM,20220907,17.4885,17.8223,16.3871,16.4229,7318700
185485,HCM,20220906,17.7889,17.9558,17.5553,17.5578,4423500
185995,HCM,20220905,17.2883,17.8223,17.2883,17.6579,5607500
186515,HCM,20220831,17.1548,17.7555,17.1548,17.4243,5713400
187030,HCM,20220830,18.0225,18.0893,17.355,17.4243,6902900
187549,HCM,20220829,17.8223,18.0225,17.1548,17.8916,13422100
188066,HCM,20220826,18.9236,18.9236,18.2228,18.3589,8450800
188588,HCM,20220825,18.8903,19.224,18.8569,18.9264,6098100
189109,HCM,20220824,19.0238,19.1906,18.7901,18.8596,5455400
189632,HCM,20220823,18.156,19.0238,18.0225,19.0265,11445300
190153,HCM,20220822,18.69,18.8235,18.2895,18.4924,7687000
190675,HCM,20220819,18.8903,18.957,18.5899,18.7928,7423400
191184,HCM,20220818,18.0225,19.0238,18.0225,18.893,16551300
191695,HCM,20220817,18.0225,18.5231,17.8556,18.0251,10907800
192211,HCM,20220816,18.0225,18.156,17.889,17.8916,5981600
192730,HCM,20220815,18.3563,18.4564,17.9558,18.0919,6685200
193253,HCM,20220812,17.889,18.3229,17.7555,18.2254,5190200
193779,HCM,20220811,18.6233,18.6566,17.7221,17.925,9467700
194310,HCM,20220810,17.9224,18.4898,17.8223,18.2254,8566000
194846,HCM,20220809,18.156,18.3896,17.889,18.0251,10269600
195378,HCM,20220808,18.423,18.5231,18.156,18.2254,7820400
195908,HCM,20220805,18.2228,18.8235,18.156,18.4924,9063600
196436,HCM,20220804,18.0225,18.5231,17.9224,18.3255,9864100
196957,HCM,20220803,17.7221,18.0225,17.5219,17.8916,6898800
197483,HCM,20220802,17.9558,18.3229,17.5553,17.7915,8772700
198003,HCM,20220801,17.4885,18.3229,17.3884,18.0585,10057600
198523,HCM,20220729,17.5553,17.8556,17.1548,17.4243,6730300
199045,HCM,20220728,17.6554,17.9891,17.3216,17.3575,10508500
199572,HCM,20220727,16.7209,17.3884,16.7209,17.1572,5954600
200088,HCM,20220726,17.1214,17.3216,16.8544,16.8902,4006100
200605,HCM,20220725,16.2203,17.4885,16.02,17.1906,9944200
201129,HCM,20220722,16.6875,17.0213,16.4539,16.4563,6173100
201650,HCM,20220721,17.088,17.3216,16.821,16.8902,6150500
202170,HCM,20220720,17.088,17.8223,16.9545,17.3575,10016100
202682,HCM,20220719,16.2203,17.0213,16.0868,16.6899,8546100
203195,HCM,20220718,16.287,16.7876,16.0868,16.4229,9051000
203706,HCM,20220715,16.7876,16.821,16.1535,16.1558,6819100
204223,HCM,20220714,15.3525,16.5206,15.3525,16.523,10295300
204737,HCM,20220713,15.7196,16.1535,15.4526,15.4549,5581900
